Negocio|Nombre negocio|Gen|Nombre Gen|Uen|Nombre de la uen|Sublinea|Nomb Sublinea|Cat|Desc_Categoria|Subc|Desc_Subcategoria|Nom abreviado|Segmento|Desc_Segmento|Tipo unidad de medida|Unidad PUM|Descripción PUM                                                                                       
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00210|COMIDAS PREPARADAS            |1005|AREPAS                        |AREPAS    |0501|AREPA REDONDA                 |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00210|COMIDAS PREPARADAS            |1005|AREPAS                        |AREPAS    |0502|AREPA TELA                    |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00210|COMIDAS PREPARADAS            |1005|AREPAS                        |AREPAS    |0503|AREPAS RELLENAS               |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00210|COMIDAS PREPARADAS            |1005|AREPAS                        |AREPAS    |0504|AREPA DE CHOCOLA              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00210|COMIDAS PREPARADAS            |1005|AREPAS                        |AREPAS    |0505|AREPA DE MOTE                 |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00210|COMIDAS PREPARADAS            |1005|AREPAS                        |AREPAS    |0506|OTRAS AREPAS                  |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00210|COMIDAS PREPARADAS            |1025|FRITOS                        |FRITOS    |0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00210|COMIDAS PREPARADAS            |1030|HAMBURGUESA                   |HAMBURGUES|3001|HAMBURGUESA SENCILLA          |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00210|COMIDAS PREPARADAS            |1030|HAMBURGUESA                   |HAMBURGUES|3002|HAMBURGUESA ESPECIAL          |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00210|COMIDAS PREPARADAS            |1050|PERRO                         |PERRO     |5001|PERRO SENCILLO                |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00210|COMIDAS PREPARADAS            |1050|PERRO                         |PERRO     |5002|PERRO ESPECIAL                |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00210|COMIDAS PREPARADAS            |1055|SANDUCHES                     |SANDUCHES |5501|SANDUCHE SENCILLO             |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00210|COMIDAS PREPARADAS            |1055|SANDUCHES                     |SANDUCHES |5502|SANDUCHE ESPECIAL             |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00210|COMIDAS PREPARADAS            |1070|TAMALES                       |TAMALES   |0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00210|COMIDAS PREPARADAS            |1085|PLATOS FRIOS                  |PLATOS FRI|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00220|ENSALADAS                     |2005|ENSALADA DE FRUTAS            |ENSALADA F|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00220|ENSALADAS                     |2010|ENSALADA DE VERDURAS          |ENSALADA V|0010|ENS. VERDURAS SENCILLA        |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00220|ENSALADAS                     |2010|ENSALADA DE VERDURAS          |ENSALADA V|0011|ENS.VERDURAS ESPECIAL         |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00220|ENSALADAS                     |2020|PORCION DE FRUTA              |POR.FRUTA |0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00220|ENSALADAS                     |2025|SALPICON                      |SALPICON  |0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00230|DESAYUNO                      |3005|DASAYUNO PANES                |DESAYUNO P|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00230|DESAYUNO                      |3010|DASAYUNO HUEVOS               |DESAYUNO H|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00230|DESAYUNO                      |3015|DASAYUNO CONFORMADO           |DESAYUNO C|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00230|DESAYUNO                      |3020|DASAYUNO COMPLETO             |DESAYUNO C|2001|CEREALES                      |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00230|DESAYUNO                      |3020|DASAYUNO COMPLETO             |DESAYUNO C|2002|QUESOS                        |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00240|ALMUERZO - COMIDA             |4005|MENU CONFORMADO               |MENU CONFO|0501|MENU DEL DIA                  |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00240|ALMUERZO - COMIDA             |4005|MENU CONFORMADO               |MENU CONFO|0502|COMBO                         |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00240|ALMUERZO - COMIDA             |4005|MENU CONFORMADO               |MENU CONFO|0503|TIPICO                        |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00240|ALMUERZO - COMIDA             |4010|ALMUERZO COMPELTO             |ALMUERZO C|1001|ARROZ                         |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00240|ALMUERZO - COMIDA             |4010|ALMUERZO COMPELTO             |ALMUERZO C|1002|ENERGETICO                    |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00240|ALMUERZO - COMIDA             |4010|ALMUERZO COMPELTO             |ALMUERZO C|1003|GRANO O PRINCIPIO             |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00240|ALMUERZO - COMIDA             |4010|ALMUERZO COMPELTO             |ALMUERZO C|1004|SOPAS                         |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00240|ALMUERZO - COMIDA             |4010|ALMUERZO COMPELTO             |ALMUERZO C|1005|CARNE                         |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00250|POSTRES Y TORTAS              |5005|POSTRES Y TORTAS              |POSTRES-TO|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00250|POSTRES Y TORTAS              |5010|DULCES CASEROS                |DULCES CAS|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00250|POSTRES Y TORTAS              |5015|TORTAS                        |TORTAS    |0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00260|BEBIDAS                       |6005|BEBIDAS FRIAS                 |BEB.FRIAS |0501|GASEOSA                       |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00260|BEBIDAS                       |6005|BEBIDAS FRIAS                 |BEB.FRIAS |0502|LACTEOS                       |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00260|BEBIDAS                       |6005|BEBIDAS FRIAS                 |BEB.FRIAS |0503|BEBIDA EMPACADA               |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00260|BEBIDAS                       |6005|BEBIDAS FRIAS                 |BEB.FRIAS |0504|AGUA                          |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00260|BEBIDAS                       |6010|BEBIDAS CALIENTES             |BEB.CALIEN|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00285|VARIOS                        |8520|OTROS CAFETERIA               |OTROS CAFE|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00290|MATERIAS PRIMAS               |9001|MP HARINAS Y PREMEZCLAS emplea|MP HARINAS|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00290|MATERIAS PRIMAS               |9002|MP CAF CARNES FRIAS empleados |MP CAF CAR|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00290|MATERIAS PRIMAS               |9003|MP CAF BEBIDAS empleados      |MP CAF BEB|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00290|MATERIAS PRIMAS               |9004|MP CAF SOPAS CONDIMENTOS emple|MP CAF SOP|0000|                              |   |   |                              
