ASUPER INTER                   700S                                                                                                                                                                                                                                                                                              
BMI SURTII                     000N                                                                                                                                                                                                                                                                                              
CALMACENES CARULLA             200S                                                                                                                                                                                                                                                                                              
EALMACENES EXITO               100S                                                                                                                                                                                                                                                                                              
FFRANQUICIAS                   000N                                                                                                                                                                                                                                                                                              
GEDS EXITO                     000                                                                                                                                                                                                                                                                                               
HTURBO CARULLA                 000N                                                                                                                                                                                                                                                                                              
IINSTITUCIONAL                 000N                                                                                                                                                                                                                                                                                              
JFRANQUICIA CARULLA EXPRESS    000N                                                                                                                                                                                                                                                                                              
KFRANQUICIA SURTIMAX           000N                                                                                                                                                                                                                                                                                              
LEXITO YA                      000N                                                                                                                                                                                                                                                                                              
MSURTIMAYORISTA                600S                                                                                                                                                                                                                                                                                              
NEXITO EXPRESS                 400S                                                                                                                                                                                                                                                                                              
OOTRAS                         000N                                                                                                                                                                                                                                                                                              
PCARULLA EXPRESS               500S                                                                                                                                                                                                                                                                                              
QCOLOMBIA CE                   000N                                                                                                                                                                                                                                                                                              
RVENTA DIRECTA                 000N                                                                                                                                                                                                                                                                                              
SSURTIMAX                      300S                                                                                                                                                                                                                                                                                              
TSURTIMAX TRIANGULO            000                                                                                                                                                                                                                                                                                               
UEXPORTACIONES EXITO           000N                                                                                                                                                                                                                                                                                              
VCDISCOUNT                     000N                                                                                                                                                                                                                                                                                              
WMOVIL                         000                                                                                                                                                                                                                                                                                               
XBODEGA MAYORISTA              000N                                                                                                                                                                                                                                                                                              
YALIADOS SURTIMAX              000N                                                                                                                                                                                                                                                                                              
